symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
INFY,INE009A01021,2023-12-06,NSE,EQ,EQ,sell,false,1.000000,1465.050000,23209754,1100000016515408,2023-12-06T11:13:20
SJVN,INE002L01015,2024-02-19,NSE,EQ,EQ,buy,false,1.000000,124.750000,65055301,1300000023687390,2024-02-19T12:05:45
NHPC,INE848E01016,2024-02-19,NSE,EQ,EQ,buy,false,5.000000,96.000000,45042822,1200000026373774,2024-02-19T12:08:41
SJVN,INE002L01015,2024-02-19,NSE,EQ,EQ,buy,false,1.000000,124.400000,66040076,1300000028652929,2024-02-19T13:00:30
SJVN,INE002L01015,2024-02-19,NSE,EQ,EQ,buy,false,1.000000,124.200000,66137038,1300000028980752,2024-02-19T13:05:57
NHPC,INE848E01016,2024-02-19,NSE,EQ,EQ,buy,false,2.000000,96.150000,46925500,1200000038868095,2024-02-19T14:09:10
MMTC,INE123F01029,2024-02-20,NSE,EQ,EQ,buy,false,12.000000,86.200000,42993872,1200000015093442,2024-02-20T10:36:40
SJVN,INE002L01015,2024-02-20,NSE,EQ,EQ,buy,false,3.000000,124.050000,63204557,1300000014240727,2024-02-20T10:38:44
SJVN,INE002L01015,2024-02-23,NSE,EQ,EQ,buy,false,2.000000,120.300000,62228674,1300000009350956,2024-02-23T10:02:31
NHPC,INE848E01016,2024-02-23,NSE,EQ,EQ,buy,false,3.000000,92.200000,42172036,1200000009586567,2024-02-23T10:02:59
SJVN,INE002L01015,2024-03-06,NSE,EQ,EQ,buy,false,5.000000,117.950000,66189650,1300000030520717,2024-03-06T12:43:33
NHPC,INE848E01016,2024-03-06,NSE,EQ,EQ,buy,false,6.000000,91.450000,46847851,1200000036787683,2024-03-06T12:44:19
SJVN,INE002L01015,2024-03-12,BSE,EQ,A,buy,false,2.000000,116.650000,1107100,1710214200135552162,2024-03-12T09:25:22
NHPC,INE848E01016,2024-03-12,BSE,EQ,A,buy,false,3.000000,88.870000,1055300,1710214200132237128,2024-03-12T09:26:19
SJVN,INE002L01015,2024-03-12,BSE,EQ,A,buy,false,1.000000,115.650000,1363700,1710214200135709217,2024-03-12T09:27:41
NHPC,INE848E01016,2024-03-12,BSE,EQ,A,buy,false,1.000000,88.300000,1333100,1710214200132259618,2024-03-12T09:29:04
SJVN,INE002L01015,2024-03-12,BSE,EQ,A,buy,false,1.000000,115.000000,1614600,1710214200135714488,2024-03-12T09:29:37
SJVN,INE002L01015,2024-03-12,BSE,EQ,A,buy,false,3.000000,114.000000,4870400,1710218448543412143,2024-03-12T10:46:38
SJVN,INE002L01015,2024-03-12,BSE,EQ,A,buy,false,1.000000,114.000000,4879200,1710218448543564993,2024-03-12T10:46:38
